experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,250,3,3,LD,2,380,6,12,11,6,10,13,9,12
rpmc,250,3,3,LD,2,717,12,24,13,3,7,17,6,9
rpmc,250,3,3,LD,2,718,2,2,14,8,2,16,9,3
rpmc,250,3,3,LD,2,1100,38,125,14,6,9,19,11,14
rpmc,250,3,3,LD,2,1504,4,8,18,15,9,20,17,11
rpmc,250,3,3,LD,2,1694,2,2,19,4,12,21,5,13
rpmc,250,3,3,LD,2,1877,6,12,20,1,8,22,4,10
rpmc,250,3,3,LD,2,1878,6,12,19,9,10,22,11,12
rpmc,250,3,3,LD,2,2064,1,1,21,1,8,22,2,9
rpmc,250,3,3,LD,2,2065,2,2,21,2,3,22,4,4
rpmc,250,3,3,LD,2,2066,4,8,21,3,1,23,5,3
rpmc,250,3,3,LD,2,2067,2,2,21,10,10,22,11,12
rpmc,250,3,3,LD,2,2605,4,4,23,1,8,25,3,9
rpmc,250,3,3,LD,2,2606,3,4,24,7,13,26,9,14
rpmc,250,3,3,LD,2,2608,10,27,23,8,10,26,11,13
rpmc,250,3,3,LD,2,2892,2,2,26,2,8,27,4,9
rpmc,250,3,3,LD,2,3397,1,1,30,3,4,31,4,5
rpmc,250,3,3,LD,2,3398,1,1,30,6,7,31,7,8
rpmc,250,3,3,LD,2,3497,1,1,31,3,8,32,4,9
rpmc,250,3,3,LD,2,3498,2,2,31,6,7,32,7,9
rpmc,250,3,3,LD,3,532,3,4,12,4,2,14,5,4
rpmc,250,3,3,LD,3,1101,24,60,13,13,6,18,16,10
rpmc,250,3,3,LD,3,1695,9,24,18,3,2,22,5,5
rpmc,250,3,3,LD,3,1696,1,1,19,5,4,20,6,5
rpmc,250,3,3,LD,3,1698,14,24,17,14,6,21,16,9
rpmc,250,3,3,LD,3,1879,3,4,20,6,3,22,7,5
rpmc,250,3,3,LD,3,1881,2,2,20,14,6,21,15,8
rpmc,250,3,3,LD,3,2068,9,24,20,12,6,22,16,9
rpmc,250,3,3,LD,3,2069,3,3,20,14,8,23,15,9
rpmc,250,3,3,LD,3,2260,9,12,21,2,2,24,4,4
rpmc,250,3,3,LD,3,2261,3,4,22,4,9,24,5,11
rpmc,250,3,3,LD,3,2439,2,2,23,7,5,24,9,6
rpmc,250,3,3,LD,3,2607,2,2,23,4,10,25,5,11
rpmc,250,3,3,LD,3,2609,10,18,23,4,2,25,7,5
rpmc,250,3,3,LD,3,2893,13,30,24,6,3,29,8,6
rpmc,250,3,3,LD,3,3021,2,2,26,13,5,28,14,6
rpmc,250,3,3,LD,3,3023,1,1,27,14,7,28,15,8
rpmc,250,3,3,LD,3,3160,4,6,28,6,2,31,7,4
rpmc,250,3,3,LD,3,3499,4,6,30,6,3,33,7,5
rpmc,250,3,3,LD,4,241,1,1,11,10,4,12,11,5
rpmc,250,3,3,LD,4,382,5,12,11,8,1,14,10,3
rpmc,250,3,3,LD,4,535,6,8,11,10,4,15,12,5
rpmc,250,3,3,LD,4,722,2,2,13,13,7,15,14,8
rpmc,250,3,3,LD,4,1102,4,4,16,8,9,18,10,10
rpmc,250,3,3,LD,4,1506,3,4,17,7,8,19,9,9
rpmc,250,3,3,LD,4,1507,8,16,16,9,11,20,11,13
rpmc,250,3,3,LD,4,1509,14,24,16,12,4,20,14,7
rpmc,250,3,3,LD,4,1699,7,12,19,12,6,21,14,9
rpmc,250,3,3,LD,4,1880,1,1,20,5,1,21,6,2
rpmc,250,3,3,LD,4,2071,4,4,21,12,8,23,14,9
rpmc,250,3,3,LD,4,2262,5,8,21,6,8,23,8,10
rpmc,250,3,3,LD,4,2441,3,4,23,12,4,24,14,6
rpmc,250,3,3,LD,4,2894,2,2,26,6,8,27,8,9
rpmc,250,3,3,LD,4,3024,7,12,27,9,6,29,12,8
rpmc,250,3,3,LD,4,3294,3,4,28,12,5,30,14,6
rpmc,250,3,3,LD,4,3399,2,2,29,6,11,31,7,12
rpmc,250,3,3,LD,5,242,2,2,11,10,11,12,12,12
rpmc,250,3,3,LD,5,533,1,1,13,7,12,14,8,13
rpmc,250,3,3,LD,5,536,6,8,12,11,11,14,13,13
rpmc,250,3,3,LD,5,539,2,2,13,14,5,14,15,7
rpmc,250,3,3,LD,5,1106,3,3,16,14,8,17,17,9
rpmc,250,3,3,LD,5,1310,25,45,16,14,6,21,17,9
rpmc,250,3,3,LD,5,1505,1,1,18,1,8,19,2,9
rpmc,250,3,3,LD,5,1700,1,1,19,11,13,20,12,14
rpmc,250,3,3,LD,5,1884,10,24,19,15,7,23,17,10
rpmc,250,3,3,LD,5,2265,4,6,21,15,7,24,17,8
rpmc,250,3,3,LD,5,2266,12,24,22,15,7,25,17,11
rpmc,250,3,3,LD,5,2440,6,8,23,1,9,25,3,11
rpmc,250,3,3,LD,5,2610,1,1,24,11,13,25,12,14
rpmc,250,3,3,LD,5,2753,14,27,24,14,7,27,17,10
rpmc,250,3,3,LD,5,2754,1,1,25,16,6,26,17,7
rpmc,250,3,3,LD,5,2897,1,1,26,14,12,27,15,13
rpmc,250,3,3,LD,5,3161,3,4,28,1,9,30,2,11
rpmc,250,3,3,LD,5,3162,1,1,28,15,8,29,16,9
rpmc,250,3,3,LD,6,20,2,2,8,6,7,10,7,8
rpmc,250,3,3,LD,6,238,2,2,10,5,11,12,6,12
rpmc,250,3,3,LD,6,243,10,12,11,11,4,13,14,6
rpmc,250,3,3,LD,6,383,2,2,12,7,2,13,8,4
rpmc,250,3,3,LD,6,537,4,6,12,12,9,14,13,12
rpmc,250,3,3,LD,6,720,3,4,13,6,1,15,7,3
rpmc,250,3,3,LD,6,721,3,4,14,11,12,16,13,13
rpmc,250,3,3,LD,6,723,4,6,13,12,8,16,14,9
rpmc,250,3,3,LD,6,1103,3,4,15,9,1,17,10,3
rpmc,250,3,3,LD,6,1104,6,12,16,10,12,18,12,15
rpmc,250,3,3,LD,6,1305,1,1,17,6,1,18,7,2
rpmc,250,3,3,LD,6,1309,46,120,15,12,7,21,16,12
rpmc,250,3,3,LD,6,1508,1,1,18,10,13,19,11,14
rpmc,250,3,3,LD,6,1883,4,6,19,8,14,22,10,15
rpmc,250,3,3,LD,6,2070,1,1,21,8,14,22,9,15
rpmc,250,3,3,LD,6,2072,5,8,21,14,9,23,16,11
rpmc,250,3,3,LD,6,2263,1,1,22,11,2,23,12,3
rpmc,250,3,3,LD,6,2264,7,12,21,12,6,23,15,8
rpmc,250,3,3,LD,6,2895,2,2,26,9,13,27,11,14
rpmc,250,3,3,LD,6,2896,2,2,26,12,7,28,13,8
rpmc,250,3,3,LD,6,3293,3,4,29,10,2,31,12,3
rpmc,250,3,3,LD,6,3500,2,2,31,10,13,32,12,14
rpmc,250,3,3,LD,6,3592,9,12,32,12,7,34,14,10
rpmc,250,3,3,LD,6,3661,3,4,32,6,11,34,7,13
rpmc,250,3,3,LD,7,136,1,1,10,5,2,11,6,3
rpmc,250,3,3,LD,7,239,1,1,11,5,5,12,6,6
rpmc,250,3,3,LD,7,240,1,1,11,6,11,12,7,12
rpmc,250,3,3,LD,7,244,9,18,10,14,8,13,17,10
rpmc,250,3,3,LD,7,381,1,1,12,4,5,13,5,6
rpmc,250,3,3,LD,7,384,7,12,10,9,12,13,11,14
rpmc,250,3,3,LD,7,719,18,36,13,2,1,16,6,4
rpmc,250,3,3,LD,7,899,9,16,14,9,13,18,11,15
rpmc,250,3,3,LD,7,1108,4,8,15,16,8,17,18,10
rpmc,250,3,3,LD,7,1303,16,30,16,2,1,21,5,3
rpmc,250,3,3,LD,7,1304,3,3,16,4,1,19,5,2
rpmc,250,3,3,LD,7,1307,1,1,17,10,10,18,11,11
rpmc,250,3,3,LD,7,1510,2,2,18,13,11,20,14,12
rpmc,250,3,3,LD,7,1697,2,2,19,1,6,21,2,7
rpmc,250,3,3,LD,7,1882,4,6,19,7,13,22,8,15
rpmc,250,3,3,LD,7,1885,7,12,19,17,7,21,19,10
rpmc,250,3,3,LD,7,2073,20,72,19,16,7,25,19,11
rpmc,250,3,3,LD,7,3022,1,1,27,3,6,28,4,7
rpmc,250,3,3,LD,8,534,3,4,13,7,2,15,9,3
rpmc,250,3,3,LD,8,724,1,1,14,14,9,15,15,10
rpmc,250,3,3,LD,8,1105,6,12,16,13,10,18,15,13
rpmc,250,3,3,LD,8,1107,1,1,16,15,7,17,16,8
rpmc,250,3,3,LD,8,1308,6,16,14,11,7,18,13,9
rpmc,250,3,3,LD,8,1311,3,3,17,14,11,20,15,12
rpmc,250,3,3,LD,8,1701,7,12,18,12,6,21,14,8
rpmc,250,3,3,LD,8,2442,3,4,23,14,4,24,16,6
rpmc,250,3,3,LD,8,2752,1,1,25,3,5,26,4,6
rpmc,250,3,3,LD,8,3025,4,6,27,12,4,29,15,5
rpmc,250,3,3,LD,8,3662,1,1,33,12,3,34,13,4
rpmc,250,3,3,LD,9,245,4,6,11,7,2,12,9,5
rpmc,250,3,3,LD,9,385,3,4,11,7,1,13,8,3
rpmc,250,3,3,LD,9,538,3,3,12,4,0,15,5,1
rpmc,250,3,3,LD,9,900,54,150,12,4,0,22,9,3
rpmc,250,3,3,LD,9,1306,1,1,17,2,3,18,3,4
rpmc,250,3,3,LD,10,6,2,2,7,21,8,8,23,9
rpmc,250,3,3,LD,10,7,3,4,6,22,8,8,23,10
rpmc,250,3,3,LD,10,21,1,1,8,6,6,9,7,7
rpmc,250,3,3,LD,10,62,2,2,8,15,5,10,16,6
rpmc,250,3,3,LD,10,246,2,2,10,4,4,12,5,5
rpmc,250,3,3,LD,10,248,2,2,11,14,10,13,15,11
rpmc,250,3,3,LD,10,250,24,54,9,20,7,15,23,10
rpmc,250,3,3,LD,10,386,6,12,11,4,4,13,6,7
rpmc,250,3,3,LD,10,387,33,90,10,7,0,16,10,5
rpmc,250,3,3,LD,10,542,1,1,13,12,1,14,13,2
rpmc,250,3,3,LD,10,543,4,8,13,15,4,15,17,6
rpmc,250,3,3,LD,10,725,2,2,14,8,4,16,9,5
rpmc,250,3,3,LD,10,729,7,12,13,16,5,16,18,7
rpmc,250,3,3,LD,10,901,15,48,13,4,4,17,8,7
rpmc,250,3,3,LD,10,1313,5,8,16,17,5,18,19,7
rpmc,250,3,3,LD,10,1511,71,270,15,2,1,24,7,7
rpmc,250,3,3,LD,10,1886,6,8,20,3,1,22,5,3
rpmc,250,3,3,LD,10,1888,3,4,20,11,15,22,12,17
rpmc,250,3,3,LD,10,1889,2,2,20,18,9,21,19,11
rpmc,250,3,3,LD,10,2074,5,6,20,3,12,23,4,14
rpmc,250,3,3,LD,10,2443,8,12,22,3,1,24,6,3
rpmc,250,3,3,LD,10,2446,1,1,23,18,8,24,19,9
rpmc,250,3,3,LD,10,2611,5,8,23,12,15,25,14,17
rpmc,250,3,3,LD,10,2755,54,144,22,2,1,28,6,7
rpmc,250,3,3,LD,10,2756,2,2,24,8,0,26,9,1
rpmc,250,3,3,LD,10,2899,3,4,25,12,15,27,13,17
rpmc,250,3,3,LD,10,3295,37,96,27,2,2,33,6,6
rpmc,250,3,3,LD,10,3593,1,1,32,5,5,33,6,6
rpmc,250,3,3,LD,10,3770,1,1,35,6,4,36,7,5
rpmc,250,3,3,LD,11,61,5,8,8,7,3,10,9,5
rpmc,250,3,3,LD,11,137,8,18,10,6,5,13,8,8
rpmc,250,3,3,LD,11,138,1,1,10,8,3,11,9,4
rpmc,250,3,3,LD,11,247,4,4,11,7,6,13,8,8
rpmc,250,3,3,LD,11,540,2,2,13,4,1,14,6,2
rpmc,250,3,3,LD,11,541,2,2,13,6,6,14,8,7
rpmc,250,3,3,LD,11,726,13,54,12,5,6,18,8,9
rpmc,250,3,3,LD,11,902,25,80,13,0,2,18,4,6
rpmc,250,3,3,LD,11,1312,3,4,17,2,3,18,4,5
rpmc,250,3,3,LD,11,1512,14,64,17,1,3,21,5,7
rpmc,250,3,3,LD,11,1702,7,12,18,0,3,21,2,5
rpmc,250,3,3,LD,11,1703,1,1,19,3,6,20,4,7
rpmc,250,3,3,LD,11,1887,16,40,20,0,2,25,4,4
rpmc,250,3,3,LD,11,2075,3,4,21,3,4,23,5,5
rpmc,250,3,3,LD,11,2267,26,120,19,2,5,24,8,9
rpmc,250,3,3,LD,11,2268,14,36,21,6,7,24,10,10
rpmc,250,3,3,LD,11,2269,3,4,21,10,4,23,11,6
rpmc,250,3,3,LD,11,2444,7,16,22,1,1,26,3,3
rpmc,250,3,3,LD,11,2445,1,1,23,5,3,24,6,4
rpmc,250,3,3,LD,11,2757,1,1,25,7,3,26,8,4
rpmc,250,3,3,LD,11,2898,6,8,25,4,7,27,6,9
rpmc,250,3,3,LD,11,2900,2,2,25,7,2,27,8,3
rpmc,250,3,3,LD,11,3163,13,36,27,4,6,31,7,9
rpmc,250,3,3,LD,11,3400,1,1,30,3,2,31,4,3
rpmc,250,3,3,LD,11,3401,9,24,29,5,6,33,8,8
rpmc,250,3,3,LD,12,249,4,8,10,4,3,12,6,5
rpmc,250,3,3,LD,12,727,7,12,12,4,2,15,6,4
rpmc,250,3,3,LD,12,728,8,18,13,4,5,16,6,8
rpmc,250,3,3,LD,12,903,5,12,14,3,1,16,6,3
rpmc,250,3,3,LD,12,904,4,8,15,4,5,17,6,7
rpmc,250,3,3,LD,12,1514,1,1,18,7,1,19,8,2
rpmc,250,3,3,LD,12,1704,3,4,18,7,1,20,8,3
rpmc,250,3,3,LD,12,2076,48,108,16,2,1,25,6,4
rpmc,250,3,3,LD,12,2612,4,4,24,3,1,26,5,2
rpmc,250,3,3,LD,13,140,3,4,9,11,4,11,12,6
rpmc,250,3,3,LD,13,388,2,2,12,8,2,13,9,4
rpmc,250,3,3,LD,13,546,7,12,12,8,2,14,11,4
rpmc,250,3,3,LD,13,730,1,1,14,11,14,15,12,15
rpmc,250,3,3,LD,13,731,3,4,14,13,4,16,14,6
rpmc,250,3,3,LD,13,906,2,2,14,11,15,16,12,16
rpmc,250,3,3,LD,13,907,4,8,15,11,14,17,13,16
rpmc,250,3,3,LD,13,1513,2,2,17,2,4,19,3,5
rpmc,250,3,3,LD,13,1519,1,1,18,14,7,19,15,8
rpmc,250,3,3,LD,13,1705,7,12,19,7,1,22,9,3
rpmc,250,3,3,LD,13,1707,6,12,19,13,13,21,16,15
rpmc,250,3,3,LD,13,2080,1,1,21,8,2,22,9,3
rpmc,250,3,3,LD,14,139,24,72,9,5,11,15,9,14
rpmc,250,3,3,LD,14,905,1,1,15,5,11,16,6,12
rpmc,250,3,3,LD,14,1110,1,1,16,11,13,17,12,14
rpmc,250,3,3,LD,14,1314,11,36,16,3,10,20,6,13
rpmc,250,3,3,LD,14,1515,1,1,18,4,7,19,5,8
rpmc,250,3,3,LD,14,1520,1,1,18,14,11,19,15,12
rpmc,250,3,3,LD,14,2078,4,6,20,3,10,23,5,11
rpmc,250,3,3,LD,14,2759,4,8,24,4,11,26,6,13
rpmc,250,3,3,LD,14,2901,6,18,25,3,11,28,6,13
rpmc,250,3,3,LD,14,3026,1,1,27,9,11,28,10,12
rpmc,250,3,3,LD,14,3027,3,4,26,13,12,28,14,14
rpmc,250,3,3,LD,14,3501,2,2,31,5,12,33,6,13
rpmc,250,3,3,LD,14,3502,1,1,31,9,11,32,10,12
rpmc,250,3,3,LD,15,64,2,2,9,14,5,11,15,6
rpmc,250,3,3,LD,15,141,2,2,10,6,7,11,8,8
rpmc,250,3,3,LD,15,143,1,1,10,13,8,11,14,9
rpmc,250,3,3,LD,15,145,2,2,10,15,5,12,16,6
rpmc,250,3,3,LD,15,389,1,1,12,8,12,13,9,13
rpmc,250,3,3,LD,15,390,12,48,11,8,12,15,11,16
rpmc,250,3,3,LD,15,392,1,1,12,12,10,13,13,11
rpmc,250,3,3,LD,15,549,2,2,13,13,9,14,15,10
rpmc,250,3,3,LD,15,908,14,24,13,7,11,17,10,13
rpmc,250,3,3,LD,15,910,4,4,15,14,13,17,15,15
rpmc,250,3,3,LD,15,1315,2,2,17,4,14,18,6,15
rpmc,250,3,3,LD,15,1316,4,6,17,8,10,18,10,13
rpmc,250,3,3,LD,15,1319,1,1,17,11,6,18,12,7
rpmc,250,3,3,LD,15,1320,12,27,16,10,9,19,13,12
rpmc,250,3,3,LD,15,1516,11,48,16,5,11,20,9,14
rpmc,250,3,3,LD,15,1518,6,18,17,6,10,20,9,12
rpmc,250,3,3,LD,15,1706,3,4,19,7,2,20,9,4
rpmc,250,3,3,LD,15,1890,37,100,18,4,11,23,8,16
rpmc,250,3,3,LD,15,1894,12,24,19,10,9,23,13,11
rpmc,250,3,3,LD,15,2079,3,4,21,1,8,23,3,9
rpmc,250,3,3,LD,15,2614,11,18,23,11,8,26,13,11
rpmc,250,3,3,LD,15,2762,1,1,25,11,9,26,12,10
rpmc,250,3,3,LD,15,2902,10,24,24,12,13,28,14,16
rpmc,250,3,3,LD,15,3296,4,6,28,6,12,30,7,15
rpmc,250,3,3,LD,15,3402,1,1,30,3,13,31,4,14
rpmc,250,3,3,LD,15,3594,1,1,32,6,14,33,7,15
rpmc,250,3,3,LD,15,3595,2,2,32,9,10,33,11,11
rpmc,250,3,3,LD,15,3663,5,6,33,6,13,34,9,15
rpmc,250,3,3,LD,15,3726,6,12,33,8,13,35,11,15
rpmc,250,3,3,LD,15,3771,2,2,34,9,6,36,10,7
rpmc,250,3,3,LD,16,8,2,2,6,12,9,8,13,10
rpmc,250,3,3,LD,16,63,1,1,9,9,5,10,10,6
rpmc,250,3,3,LD,16,66,1,1,9,14,14,10,15,15
rpmc,250,3,3,LD,16,146,6,6,10,11,6,11,13,9
rpmc,250,3,3,LD,16,252,5,8,11,16,5,13,18,7
rpmc,250,3,3,LD,16,547,1,1,13,5,4,14,6,5
rpmc,250,3,3,LD,16,548,11,36,12,5,1,15,8,5
rpmc,250,3,3,LD,16,552,2,2,12,13,18,14,14,19
rpmc,250,3,3,LD,16,732,3,4,14,5,2,16,6,4
rpmc,250,3,3,LD,16,911,3,4,14,10,1,16,11,3
rpmc,250,3,3,LD,16,913,5,12,15,13,7,18,15,9
rpmc,250,3,3,LD,16,1111,11,24,14,3,12,18,5,15
rpmc,250,3,3,LD,16,1323,21,45,14,10,1,19,13,4
rpmc,250,3,3,LD,16,1324,2,2,16,13,19,18,14,20
rpmc,250,3,3,LD,16,1517,6,12,17,2,9,20,4,11
rpmc,250,3,3,LD,16,1708,15,32,19,9,1,23,13,3
rpmc,250,3,3,LD,16,1709,5,12,19,14,17,21,16,20
rpmc,250,3,3,LD,16,1891,5,12,19,2,9,22,4,11
rpmc,250,3,3,LD,16,1892,1,1,20,3,4,21,4,5
rpmc,250,3,3,LD,16,2081,6,6,21,2,10,24,4,11
rpmc,250,3,3,LD,16,2082,1,1,21,3,9,22,4,10
rpmc,250,3,3,LD,16,2084,5,6,20,6,1,22,9,2
rpmc,250,3,3,LD,16,2087,11,24,20,12,1,24,15,3
rpmc,250,3,3,LD,16,2447,11,18,22,6,1,25,9,3
rpmc,250,3,3,LD,16,2616,1,1,24,11,1,25,12,2
rpmc,250,3,3,LD,16,2760,1,1,25,2,8,26,3,9
rpmc,250,3,3,LD,16,2764,2,2,24,9,6,26,10,7
rpmc,250,3,3,LD,16,2766,7,12,24,9,1,27,11,3
rpmc,250,3,3,LD,16,3028,3,4,27,14,2,29,16,3
rpmc,250,3,3,LD,16,3297,1,1,29,11,7,30,12,8
rpmc,250,3,3,LD,16,3403,4,4,28,5,14,32,6,15
rpmc,250,3,3,LD,16,3596,3,4,31,6,5,33,8,6
rpmc,250,3,3,LD,16,3597,3,4,32,12,1,34,13,3
rpmc,250,3,3,LD,16,3664,1,1,33,12,2,34,13,3
rpmc,250,3,3,LD,16,3727,1,1,34,5,13,35,6,14
rpmc,250,3,3,LD,16,3792,1,1,36,5,14,37,6,15
rpmc,250,3,3,LD,17,391,1,1,12,2,7,13,3,8
rpmc,250,3,3,LD,17,550,2,2,13,6,3,14,7,5
rpmc,250,3,3,LD,17,555,2,2,13,16,11,15,17,12
rpmc,250,3,3,LD,17,909,1,1,15,3,4,16,4,5
rpmc,250,3,3,LD,17,1317,9,18,16,1,5,19,3,8
rpmc,250,3,3,LD,17,1321,1,1,17,6,3,18,7,4
rpmc,250,3,3,LD,17,1521,4,4,17,3,11,19,4,13
rpmc,250,3,3,LD,17,1893,23,48,19,2,10,23,5,14
rpmc,250,3,3,LD,17,2085,1,1,21,10,16,22,11,17
rpmc,250,3,3,LD,17,2272,1,1,22,10,12,23,11,13
rpmc,250,3,3,LD,17,2448,2,2,23,7,15,24,9,16
rpmc,250,3,3,LD,17,2613,3,4,24,1,8,26,2,10
rpmc,250,3,3,LD,17,2761,2,2,25,1,8,26,3,9
rpmc,250,3,3,LD,17,2763,4,6,24,3,10,27,5,11
rpmc,250,3,3,LD,20,393,2,2,12,3,10,13,5,11
rpmc,250,3,3,LD,20,551,1,1,13,8,1,14,9,2
rpmc,250,3,3,LD,20,733,1,1,14,9,1,15,10,2
rpmc,250,3,3,LD,20,1522,2,2,18,12,2,19,13,4
rpmc,250,3,3,LD,20,1713,4,8,19,12,3,21,14,5
rpmc,250,3,3,LD,20,2273,2,2,22,8,0,23,9,2
rpmc,250,3,3,LD,20,2274,1,1,22,9,1,23,10,2
rpmc,250,3,3,LD,20,2449,2,2,23,12,2,24,13,4
rpmc,250,3,3,LD,20,3029,2,2,26,13,4,28,14,5
rpmc,250,3,3,LD,21,65,1,1,9,8,3,10,9,4
rpmc,250,3,3,LD,21,142,5,8,9,1,2,11,3,4
rpmc,250,3,3,LD,21,144,2,2,10,4,1,11,5,3
rpmc,250,3,3,LD,21,147,2,2,9,8,2,11,9,3
rpmc,250,3,3,LD,21,394,1,1,12,5,3,13,6,4
rpmc,250,3,3,LD,21,395,10,27,11,6,4,14,9,7
rpmc,250,3,3,LD,21,912,1,1,15,8,2,16,9,3
rpmc,250,3,3,LD,21,1112,3,4,15,4,8,17,6,9
rpmc,250,3,3,LD,21,1318,1,1,17,0,2,18,1,3
rpmc,250,3,3,LD,21,2083,2,2,20,1,3,22,2,4
rpmc,250,3,3,LD,21,2086,12,24,19,7,5,23,9,8
rpmc,250,3,3,LD,21,2271,3,4,21,1,2,23,2,4
rpmc,250,3,3,LD,21,2615,2,2,24,2,3,26,3,4
rpmc,250,3,3,LD,22,251,1,1,11,7,10,12,8,11
rpmc,250,3,3,LD,22,396,1,1,12,7,11,13,8,12
rpmc,250,3,3,LD,22,554,2,2,13,10,1,14,11,3
rpmc,250,3,3,LD,22,734,2,2,14,10,12,15,11,14
rpmc,250,3,3,LD,22,736,6,12,14,10,2,16,13,4
rpmc,250,3,3,LD,22,914,1,1,15,8,1,16,9,2
rpmc,250,3,3,LD,22,916,2,2,15,11,3,16,13,4
rpmc,250,3,3,LD,22,1322,1,1,17,2,10,18,3,11
rpmc,250,3,3,LD,22,1325,3,4,17,10,3,18,12,5
rpmc,250,3,3,LD,22,1523,5,12,17,10,3,20,12,5
rpmc,250,3,3,LD,22,1896,5,12,20,10,3,22,13,5
rpmc,250,3,3,LD,22,2088,7,12,20,5,14,22,8,16
rpmc,250,3,3,LD,22,2617,2,2,24,5,14,25,7,15
rpmc,250,3,3,LD,22,2765,2,2,25,2,4,26,3,6
rpmc,250,3,3,LD,22,3503,1,1,31,7,13,32,8,14
rpmc,250,3,3,LD,23,9,1,1,7,12,7,8,13,8
rpmc,250,3,3,LD,23,67,4,4,9,8,2,10,10,4
rpmc,250,3,3,LD,23,255,8,8,11,13,8,13,15,10
rpmc,250,3,3,LD,23,557,15,24,12,9,1,15,13,3
rpmc,250,3,3,LD,23,737,15,36,13,5,2,17,8,5
rpmc,250,3,3,LD,23,739,11,36,12,13,1,16,16,4
rpmc,250,3,3,LD,23,917,5,6,15,5,2,17,8,3
rpmc,250,3,3,LD,23,922,6,12,14,14,8,16,16,11
rpmc,250,3,3,LD,23,1114,7,12,16,7,2,18,9,5
rpmc,250,3,3,LD,23,1115,2,2,16,11,0,17,12,2
rpmc,250,3,3,LD,23,1120,9,24,14,15,4,18,17,7
rpmc,250,3,3,LD,23,1329,2,2,17,15,6,18,17,7
rpmc,250,3,3,LD,23,1332,3,4,16,15,7,18,17,8
rpmc,250,3,3,LD,23,1525,12,24,17,8,0,19,12,3
rpmc,250,3,3,LD,23,1526,3,3,17,11,0,20,12,1
rpmc,250,3,3,LD,23,1530,3,3,16,14,2,19,15,3
rpmc,250,3,3,LD,23,1714,3,4,18,3,5,20,5,6
rpmc,250,3,3,LD,23,1717,3,4,19,9,0,21,11,1
rpmc,250,3,3,LD,23,1718,7,12,18,13,1,21,15,3
rpmc,250,3,3,LD,23,1720,12,27,18,14,4,21,17,7
rpmc,250,3,3,LD,23,1895,11,27,19,3,5,22,6,8
rpmc,250,3,3,LD,23,2094,5,8,20,13,3,22,15,5
rpmc,250,3,3,LD,23,2095,5,12,20,15,8,22,18,10
rpmc,250,3,3,LD,23,2276,15,27,21,2,6,24,5,9
rpmc,250,3,3,LD,23,2277,1,1,22,7,0,23,8,1
rpmc,250,3,3,LD,23,2279,15,27,21,9,0,24,12,3
rpmc,250,3,3,LD,23,2286,8,12,21,13,3,23,16,5
rpmc,250,3,3,LD,23,2450,1,1,23,4,13,24,5,14
rpmc,250,3,3,LD,23,2459,15,24,22,16,5,25,18,9
rpmc,250,3,3,LD,23,2618,14,36,24,7,0,27,11,3
rpmc,250,3,3,LD,23,2623,4,6,23,13,1,26,14,3
rpmc,250,3,3,LD,23,2625,21,48,23,13,2,27,16,6
rpmc,250,3,3,LD,23,2770,2,2,25,8,5,27,9,6
rpmc,250,3,3,LD,23,2904,2,2,25,9,14,27,10,15
rpmc,250,3,3,LD,23,2911,4,6,26,14,5,27,17,7
rpmc,250,3,3,LD,23,3169,8,12,27,14,2,30,16,4
rpmc,250,3,3,LD,23,3300,4,8,28,7,14,30,9,16
rpmc,250,3,3,LD,23,3407,8,16,30,14,2,32,16,6
rpmc,250,3,3,LD,23,3504,8,12,30,5,3,33,7,5
rpmc,250,3,3,LD,23,3667,1,1,33,11,13,34,12,14
rpmc,250,3,3,LD,23,3728,3,4,34,7,1,35,9,3
rpmc,250,3,3,LD,23,3729,2,2,34,8,2,36,9,3
rpmc,250,3,3,LD,24,68,1,1,9,12,12,10,13,13
rpmc,250,3,3,LD,24,69,4,4,9,13,4,11,15,5
rpmc,250,3,3,LD,24,148,10,18,8,13,8,11,16,10
rpmc,250,3,3,LD,24,253,4,6,10,9,11,13,10,13
rpmc,250,3,3,LD,24,397,3,4,12,4,11,14,5,13
rpmc,250,3,3,LD,24,553,2,2,12,4,7,14,5,8
rpmc,250,3,3,LD,24,556,5,12,12,8,12,15,10,14
rpmc,250,3,3,LD,24,558,7,16,11,10,14,15,12,16
rpmc,250,3,3,LD,24,735,4,6,13,5,2,16,6,4
rpmc,250,3,3,LD,24,915,1,1,15,5,2,16,6,3
rpmc,250,3,3,LD,24,918,1,1,15,8,1,16,9,2
rpmc,250,3,3,LD,24,920,13,36,14,11,13,18,14,16
rpmc,250,3,3,LD,24,1326,1,1,17,7,2,18,8,3
rpmc,250,3,3,LD,24,1524,5,8,18,8,15,20,10,17
rpmc,250,3,3,LD,24,1527,2,2,18,11,3,19,12,5
rpmc,250,3,3,LD,24,1719,1,1,19,13,6,20,14,7
rpmc,250,3,3,LD,24,2090,8,16,19,8,12,23,10,14
rpmc,250,3,3,LD,24,2281,1,1,22,11,16,23,12,17
rpmc,250,3,3,LD,24,2452,3,4,22,9,12,24,10,14
rpmc,250,3,3,LD,24,2624,1,1,24,13,14,25,14,15
rpmc,250,3,3,LD,24,2768,4,6,24,3,9,27,4,11
rpmc,250,3,3,LD,24,3298,5,8,28,2,8,30,4,10
